first_publish_year,edition_count,subject_count,has_cover,is_available_online,genre,avg_rating,ratings_count,page_count,review_length,price_usd,book_age,has_rating,review_density,is_popular,price_category,price_cat_encoded,genre_encoded
1597.0,1.0,0.6506024096385542,1,1,fiction,0.6785714285714284,0.05426356589147287,0.21200000000000002,0.34375,0.23992917220008855,1.0,1,0.25885020479812754,1,Budget,0,12
1864.0,1.0,0.45783132530120485,1,1,fiction,0.8139534883720929,0.3333333333333333,0.542,0.7109375,0.24391323594510847,0.5366666666666667,1,0.20476155646576943,1,Budget,0,12
1818.0,1.0,0.9759036144578314,1,1,fiction,0.7261904761904762,0.16279069767441862,0.47200000000000003,0.6875,0.2514386896857016,0.6900000000000001,1,0.22736249268578113,1,Budget,0,12
1800.0,1.0,0.5783132530120482,1,1,fiction,0.75,0.03875968992248062,0.434,0.4453125,0.1279327135900841,0.75,1,0.17155500292568754,1,Budget,0,12
1917.0,1.0,0.24096385542168677,1,1,fiction,0.8088235294117647,0.13178294573643412,0.47200000000000003,0.54296875,0.1783975210270031,0.36000000000000004,1,0.1857080163838502,1,Budget,0,12
1600.0,1.0,1.0000000000000002,1,1,fiction,0.759090909090909,0.4263565891472868,0.272,0.19140625,0.1354581673306773,1.0,1,0.15195289643066118,1,Budget,0,12
1909.0,1.0,0.42168674698795183,1,1,fiction,0.8189655172413792,0.2248062015503876,0.442,0.453125,0.267817618415228,0.3866666666666667,1,0.17082358104154477,1,Budget,0,12
1622.0,1.0,1.0000000000000002,1,1,fiction,0.7023809523809522,0.32558139534883723,0.49800000000000005,0.76953125,0.22532093846834886,1.0,1,0.23873610298420128,1,Budget,0,12
1611.0,1.0,1.0000000000000002,1,1,fiction,0.7370689655172412,0.4496124031007752,0.6040000000000001,0.54296875,0.17352810978308988,1.0,1,0.14295640725570508,1,Budget,0,12
1922.0,1.0,0.5180722891566265,1,1,fiction,0.696969696969697,0.2558139534883721,0.414,0.40234375,0.12616201859229745,0.3433333333333334,1,0.1660327677004096,1,Budget,0,12
1554.0,1.0,1.0000000000000002,1,1,fiction,0.6863636363636364,0.4263565891472868,0.38600000000000007,1.0,0.1699867197875166,1.0,1,0.376060561732007,1,Budget,0,12
1889.0,1.0,0.6506024096385542,1,1,fiction,0.6833333333333332,0.11627906976744186,0.414,0.84375,0.17220008853474986,0.45333333333333337,1,0.305661205383265,1,Budget,0,12
1825.0,1.0,0.7951807228915663,1,1,fiction,0.7983870967741935,0.48062015503875966,0.55,0.7265625,0.24391323594510847,0.6666666666666667,1,0.20582211819777646,1,Budget,0,12
1915.0,1.0,0.21686746987951808,1,1,fiction,0.71875,0.12403100775193798,0.49400000000000005,0.71484375,0.22753430721558207,0.3666666666666667,1,0.22531451141018138,1,Budget,0,12
1734.0,1.0,0.3132530120481928,1,1,fiction,0.71875,0.06201550387596899,0.412,0.03515625,0.2718016821602479,0.9700000000000001,1,0.05028525453481568,1,Budget,0,12
1846.0,1.0,0.24096385542168677,1,1,fiction,0.5,0.031007751937984496,0.512,0.30078125,0.19831783975210274,0.5966666666666667,1,0.10532475131655937,0,Budget,0,12
1818.0,1.0,0.5662650602409639,1,1,fiction,0.5897435897435898,0.3023255813953488,0.47200000000000003,0.47265625,0.13590084108012393,0.6900000000000001,1,0.16544763019309539,1,Budget,0,12
1800.0,1.0,0.5903614457831325,1,1,fiction,0.8214285714285714,0.05426356589147287,0.556,0.41796875,0.24125719344842853,0.75,1,0.12485371562317145,1,Budget,0,12
1597.0,1.0,0.7710843373493976,1,1,fiction,0.725,0.07751937984496124,0.3960000000000001,0.37890625,0.24966799468791498,1.0,1,0.16570362785254533,1,Budget,0,12
1914.0,1.0,0.3132530120481928,1,1,fiction,0.787037037037037,0.20930232558139533,0.432,0.03125,0.2142540947321824,0.37000000000000005,1,0.04523844353423054,1,Budget,0,12
1881.0,1.0,0.6626506024096386,1,1,fiction,0.7051282051282052,0.3023255813953488,0.426,0.640625,0.2514386896857016,0.48000000000000004,1,0.23526184903452307,1,Budget,0,12
1855.0,1.0,0.7831325301204819,1,1,fiction,0.7083333333333334,0.09302325581395349,0.322,0.5859375,0.20230190349712265,0.5666666666666667,1,0.2777574605032182,1,Budget,0,12
1598.0,1.0,0.6746987951807228,1,1,fiction,0.7291666666666666,0.09302325581395349,0.49200000000000005,0.79296875,0.20717131474103587,1.0,1,0.2480251609128145,1,Budget,0,12
